Ticker_symbol,Security,Sector,Sub_Industry,Headquarter
TIF,Tiffany & Co.,Consumer Discretionary,Apparel; Accessories & Luxury Goods,New York; New York
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,New York; New York
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,Framingham; Massachusetts
TMK,Torchmark Corp.,Financials,Life & Health Insurance,McKinney; Texas
TSS,Total System Services,Information Technology,Internet Software & Services,Columbus; Georgia
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,Brentwood; Tennessee
TDG,TransDigm Group,Industrials,Aerospace & Defense,Cleveland; Ohio
RIG,Transocean,Energy,Oil & Gas Drilling,Vernier; Switzerland
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,Newton; Massachusetts
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,New York; New York
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,New York; New York
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,Springdale; Arkansas
USB,U.S. Bancorp,Financials,Banks,Minneapolis; Minnesota
UDR,UDR Inc,Real Estate,Residential REITs,Highlands Ranch; Colorado
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,Bolingbrook; Illinois
UA,Under Armour,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Baltimore; Maryland
UAA,Under Armour,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Baltimore; Maryland
UNP,Union Pacific,Industrials,Railroads,Omaha; Nebraska
UAL,United Continental Holdings,Industrials,Airlines,Chicago; Illinois
UNH,United Health Group Inc.,Health Care,Managed Health Care,Minnetonka; Minnesota
UPS,United Parcel Service,Industrials,Air Freight & Logistics,Atlanta; Georgia
URI,United Rentals; Inc.,Industrials,Trading Companies & Distributors,Stamford; Connecticut
UTX,United Technologies,Industrials,Industrial Conglomerates,Hartford; Connecticut
UHS,Universal Health Services; Inc.,Health Care,Health Care Facilities,King of Prussia; Pennsylvania
UNM,Unum Group,Financials,Diversified Financial Services,Chattanooga; Tennessee
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,Philadelphia; Pennsylvania
VFC,V.F. Corp.,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Greensboro; North Carolina
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,San Antonio; Texas
VAR,Varian Medical Systems,Health Care,Health Care Equipment,Palo Alto; California
VTR,Ventas Inc,Real Estate,REITs,Chicago; Illinois
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,Dulles; Virginia
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,Jersey City; New Jersey
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,New York; New York
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,Cambridge; Massachusetts
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,New York; New York
V,Visa Inc.,Information Technology,Internet Software & Services,San Francisco; California
VNO,Vornado Realty Trust,Real Estate,REITs,New York; New York
VMC,Vulcan Materials,Materials,Construction Materials,Birmingham; Alabama
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,Bentonville; Arkansas
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,Deerfield; Illinois
WM,Waste Management Inc.,Industrials,Environmental Services,Houston; Texas
WAT,Waters Corporation,Health Care,Health Care Distributors,Milford; Massachusetts
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,Milwaukee; Wisconsin
WFC,Wells Fargo,Financials,Banks,San Francisco; California
HCN,Welltower Inc.,Real Estate,REITs,Toledo; Ohio
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,Irvine; California
WU,Western Union Co,Information Technology,Internet Software & Services,Englewood; Colorado
WRK,WestRock Company,Materials,Paper Packaging,Richmond; Virginia
WY,Weyerhaeuser Corp.,Real Estate,REITs,Federal Way; Washington
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,Benton Harbor; Michigan
WFM,Whole Foods Market,Consumer Staples,Food Retail,Austin; Texas
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,Tulsa; Oklahoma
WLTW,Willis Towers Watson,Financials,Insurance Brokers,London; United Kingdom
WYN,Wyndham Worldwide,Consumer Discretionary,Hotels; Resorts & Cruise Lines,Parsippany; New Jersey
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,Las Vegas; Nevada
XEL,Xcel Energy Inc,Utilities,MultiUtilities,Minneapolis; Minnesota
XRX,Xerox Corp.,Information Technology,IT Consulting & Other Services,Norwalk; Connecticut
XLNX,Xilinx Inc,Information Technology,Semiconductors,San Jose; California
XL,XL Capital,Financials,Property & Casualty Insurance,Hamilton; Bermuda
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,White Plains; New York
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,Sunnyvale; California
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,Louisville; Kentucky
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,Warsaw; Indiana
ZION,Zions Bancorp,Financials,Regional Banks,Salt Lake City; Utah
ZTS,Zoetis,Health Care,Pharmaceuticals,Florham Park; New Jersey
